tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
1.00453,0.60529,1.04438,0.65886,1.64864,2.56765,1.63433,2.53289,0.63232,1.21789,0.87743,1.29112
1.08789,0.70708,1.16046,0.70418,1.97327,2.93310,1.82753,2.86944,0.80821,1.24255,0.85244,1.29931
1.03952,0.64626,1.10110,0.55589,1.36445,2.34165,1.33677,2.50120,0.54237,1.22118,0.66036,1.62089
1.02778,0.77310,1.11632,0.71059,1.77664,2.48252,1.89972,2.59457,0.68521,1.14731,0.72685,1.46108
0.95545,0.79246,1.03813,0.68627,2.27308,2.33627,2.32255,2.57076,0.94423,1.17913,1.09274,1.78130
1.02628,0.76980,1.02110,0.74557,2.04834,2.58211,2.08188,2.71065,0.64219,1.02013,0.57962,1.25281
0.97495,0.65285,1.06441,0.64500,1.76405,2.42563,1.81247,2.65653,0.65584,0.98824,0.84597,1.13138
1.16092,0.84273,1.20990,0.84324,1.22836,2.00809,1.45619,2.18622,0.62789,0.89332,0.11813,0.56637
0.93422,0.67899,1.00576,0.63861,2.15960,2.62200,2.16161,2.67212,0.64115,1.08931,0.83845,1.66321
0.99292,0.58774,1.06973,0.53266,1.50991,2.40421,1.51939,2.56158,0.53916,1.00559,0.64861,1.43871
0.88654,0.61647,0.95055,0.59743,1.97118,2.55705,2.05959,2.72760,0.59456,1.24220,0.65472,1.45447
0.89218,0.64739,0.90318,0.62569,1.38511,2.00188,1.45732,2.21984,0.55325,1.04441,0.65370,1.29525
1.37489,1.14799,1.33851,1.14008,0.66542,1.26942,0.69576,1.43833,0.35803,0.70062,0.27368,0.38986
0.87729,0.53784,0.94043,0.47511,0.97344,1.78210,1.05608,1.96386,0.44665,0.92360,0.29791,0.94749
0.96723,0.57544,1.04503,0.59640,1.21453,2.16499,1.40959,2.44953,0.50357,1.07163,0.53494,1.35005
0.87721,0.65845,0.97633,0.59403,1.88033,2.55416,2.09076,2.59423,0.60459,1.09522,0.61072,1.48901
0.97508,0.74625,1.00479,0.70639,1.96815,2.53320,2.10127,2.64120,0.85980,1.25798,1.03891,1.50983
0.92846,0.62826,1.04578,0.56797,1.76060,2.67247,1.77476,2.66738,0.70571,1.24566,0.76678,1.74168
1.01707,0.67237,1.07386,0.67365,1.96453,2.50293,2.14513,2.74161,0.60615,1.16336,0.15005,1.20600
0.94370,0.72584,1.02487,0.74379,1.09098,1.56398,1.23001,1.66063,0.48579,0.68068,0.12042,0.68305
