tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
0.03131,0.03589,0.00494,0.00512,0.07230,0.29240,0.31304,0.13268,0.25501,0.19556,0.27417,1.06316
0.00412,0.06064,0.03873,0.05893,0.42915,0.19261,0.56230,0.29705,0.35792,0.14622,0.47448,0.07998
0.01813,0.09735,0.00989,0.07434,0.27833,2.20332,0.86857,0.93944,0.69357,0.68396,0.26011,0.12180
0.03296,0.08624,0.00989,0.04355,0.21806,0.56733,0.33308,0.54588,0.54587,0.25486,0.60508,0.17609
0.00412,0.06665,0.02968,0.04611,0.37641,0.26977,0.62078,0.29950,0.40567,0.18928,0.81256,0.14000
0.05524,0.03760,0.03708,0.00512,0.39508,0.15806,0.08276,0.07694,0.06392,0.05368,0.77203,0.58670
0.01071,0.09308,0.00742,0.07007,0.32208,0.55599,0.56975,0.63071,1.08445,0.56966,0.25026,0.08985
0.00000,0.05978,0.03131,0.03503,0.36781,0.08645,0.58144,0.22276,0.37245,0.15165,0.60103,0.13706
0.06427,0.06323,0.06512,0.04611,0.13098,0.25281,0.04700,0.16787,0.06322,0.05997,0.66295,0.20858
0.01813,0.07178,0.01319,0.05380,0.02916,0.41839,0.40615,0.23178,0.42231,0.23842,0.38808,0.13314
0.02225,0.07605,0.00000,0.05551,0.16720,0.06386,0.36606,0.36956,0.43790,0.13088,0.35091,0.14540
0.03461,0.08710,0.00247,0.05978,0.12295,0.80154,0.36276,0.70614,0.86245,1.07563,0.30635,0.11615
0.00906,0.05124,0.05359,0.03247,0.62477,0.21044,0.88546,0.02470,0.73064,0.81013,0.76654,0.15409
0.00494,0.09906,0.01730,0.08795,0.35440,1.02860,0.66619,0.84301,0.43168,0.48838,0.26926,0.14532
0.09644,0.07263,0.11542,0.05466,1.30488,0.18901,1.41318,0.33690,0.78720,0.60977,0.27598,0.13149
0.00824,0.08539,0.02638,0.05295,0.52733,1.26107,0.99561,0.57651,0.27023,0.27417,0.22434,0.16582
0.05606,0.01366,0.07501,0.00598,0.80070,0.62538,1.17555,0.29481,0.78159,0.21566,1.29463,0.74703
0.05853,0.05807,0.02307,0.03247,0.45584,0.29650,0.07067,0.14027,0.36998,0.11277,0.78626,0.18265
0.01402,0.07092,0.01895,0.06409,0.30492,0.17672,0.31019,0.27976,0.23609,0.27084,0.48644,0.23415
0.01071,0.05124,0.01648,0.03247,0.08123,0.32339,0.48858,0.08845,0.18460,0.21888,0.66976,0.11646
