0,1,2
2.818,-4.44,-3.256
-4.504,-2.37,-1.856
-2.512,-0.8164,-0.4656
-0.1802,-2.361,-1.688
-6.414,-2.375,-1.905
-6.863,-3.787,-3.047
-3.22,-3.357,-2.59
-2.207,-3.5,-2.68
2.355,-5.22,-3.934
1.142,-4.066,-3.012
2.24,-8.09,-6.215
-8.06,-8.695,-7.02
3.305,-5.33,-3.977
-6.383,-5.984,-4.805
-7.29,-8.1,-6.52
0.519,-2.947,-2.168
-3.752,-1.198,-0.81
-4.625,-4.473,-3.543
-1.7705,-0.3325,-0.0331
-14.2,-8.62,-7.113
-7.96,-5.82,-4.73
1.38,-3.328,-2.312
-7.03,-11.12,-8.92
-0.636,-4.363,-3.336
-6.66,-6.6,-5.312
0.5347,-2.125,-1.507
1.152,-3.451,-2.428
-3.318,-3.379,-2.617
-6.523,-6.22,-5.008
0.5225,-3.32,-2.408
-0.7715,-2.541,-1.748
-8.16,-8.445,-6.83
-2.486,-0.2144,0.09625
-1.176,-2.426,-1.726
-11.02,-9.88,-8.05
-9.97,-8.59,-6.996
-1.216,-1.066,-0.604
-8.61,-2.516,-2.049
-11.83,-9.96,-8.125
-6.89,-3.91,-3.176
-4.047,-2.518,-1.9375
-6.98,-6.137,-4.957
0.633,-2.385,-1.629
1.14,-2.793,-2.037
-4.1,-0.4587,-0.1423
1.612,-4.33,-3.03
0.7935,-2.908,-1.967
-5.89,-5.945,-4.758
-4.504,-0.968,-0.643
-5.3,-5.82,-4.637
-8.17,-6.42,-5.203
-3.201,-2.37,-1.825
-10.09,-5.332,-4.387
-8.01,-8.445,-6.82
-7.184,-3.469,-2.818
0.9346,-2.871,-2.018
3.271,-5.242,-3.854
0.976,-3.852,-2.9
-6.78,-4.184,-3.383
-6.855,-4.99,-4.027
-1.3955,-1.395,-0.944
-5.7,-4.836,-3.877
-0.5864,-1.99,-1.386
-2.271,-1.566,-1.074
-3.791,-1.638,-1.218
2.422,-3.94,-2.854
-12.36,-9.79,-8.0
-14.5,-8.35,-6.895
-4.758,-4.1,-3.24
-8.89,-1.976,-1.566
1.186,-3.617,-2.629
-7.504,-6.88,-5.56
-8.46,-4.094,-3.334
-10.77,-4.863,-4.035
-11.0,-7.844,-6.406
-4.855,-5.73,-4.562
-8.625,-2.186,-1.7705
-7.633,-3.207,-2.611
-13.29,-9.76,-7.984
-2.223,-2.645,-2.018
-6.266,-4.297,-3.46
-1.824,-3.037,-2.312
-2.81,-3.941,-3.078
-1.708,-3.133,-2.332
-0.5903,-1.25,-0.669
-1.867,-3.281,-2.521
2.143,-4.07,-2.953
-2.127,-0.2673,0.03192
-6.94,-6.83,-5.5
2.889,-4.63,-3.45
0.1301,-1.28,-0.8184
-3.947,-0.39,-0.1012
-14.88,-9.086,-7.473
-6.68,-6.957,-5.582
-1.81,-0.812,-0.4492
-0.3828,-1.546,-0.975
-4.504,-1.598,-1.171
-9.96,-6.582,-5.367
-1.34,-0.7666,-0.3264
-1.851,-0.581,-0.215
-5.3,-4.7,-3.746
-0.7744,-1.078,-0.5435
1.177,-3.275,-2.262
-9.15,-5.44,-4.457
-10.234,-8.38,-6.83
-10.86,-12.53,-10.16
2.61,-4.24,-3.105
-1.255,-1.331,-0.833
-1.963,-9.77,-7.65
-2.266,-1.592,-1.015
