tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
1.44575,1.52062,1.40847,1.46080,2.47549,3.37342,2.51963,3.21776,1.86985,1.68445,0.36338,0.52545
1.37420,1.51646,1.38232,1.52540,0.86534,1.10816,0.84359,1.08036,0.42765,0.55292,0.35988,0.43301
1.38112,1.47969,1.29908,1.40523,1.39783,1.53332,1.38065,1.54847,0.19022,0.50130,0.33616,0.32451
1.07204,1.11039,1.06461,1.10549,1.33531,0.56202,1.21531,0.67603,0.61328,0.52233,0.63454,0.32752
0.79796,0.91885,0.71021,0.72862,0.49975,0.10139,0.50577,0.09357,0.39554,0.46458,0.32483,0.32542
1.10804,1.17414,1.05727,1.07900,0.50186,0.05418,0.50943,0.08312,0.35010,0.46067,0.32069,0.32608
0.99455,1.06166,0.82532,0.80446,0.14289,0.51465,0.15119,0.40844,0.32079,0.33036,0.33543,0.32173
0.94487,0.99979,0.95405,1.00860,0.57457,0.14417,0.60412,0.17709,0.40695,0.45959,0.32946,0.33489
1.20886,1.36675,1.17461,1.35542,1.32782,0.51836,2.78422,0.20040,0.69765,1.18153,0.32938,0.33696
1.16731,1.28468,1.18268,1.29878,0.14449,0.59937,0.19005,0.67184,0.00642,0.21772,0.34247,0.32034
1.02168,1.09506,0.92711,0.93917,0.42887,0.05032,0.46431,0.01780,0.40720,0.49806,0.32310,0.32221
1.14577,1.23692,1.02419,1.12270,3.53268,1.10863,2.93790,1.22728,2.05274,1.60312,0.83237,0.73677
1.33761,1.40109,1.34459,1.41281,0.70019,0.79172,0.45613,1.12528,1.81425,4.58409,0.33390,0.31533
0.52689,0.57638,0.53281,0.56654,0.42651,0.10999,0.41889,0.05536,0.39947,0.54764,0.32323,0.32475
1.06478,1.11481,0.98826,0.97255,0.22257,0.14320,0.22390,0.14113,0.32079,0.33036,0.32938,0.31474
1.10805,1.17571,1.06511,1.07017,0.36284,0.22900,0.59882,0.20985,0.33565,0.33036,0.38535,0.32815
0.87756,0.94293,0.84165,0.93036,1.50860,0.95131,1.51013,0.91739,0.85301,0.53009,0.67250,0.38894
1.21630,1.32871,1.20022,1.33564,1.09657,0.66085,1.11018,0.65087,0.79578,0.97664,0.48045,0.34710
1.37242,1.41412,1.37135,1.40961,1.44116,0.16471,2.58161,1.35382,0.55770,0.45768,0.32635,0.33995
0.57650,0.59482,0.52804,0.52514,0.39434,0.04803,0.42488,0.11402,0.39168,0.51444,0.32186,0.31456
