tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
0.00550,0.13232,0.02695,0.15991,0.01012,0.04429,0.01651,0.04588,0.49461,0.33041,1.80737,2.71661
0.12939,0.28662,0.19409,0.34180,0.03738,0.09181,0.03604,0.07992,0.32092,0.36061,1.67893,3.65785
0.17249,0.03839,0.15100,0.03839,0.08005,0.04750,0.06264,0.02890,0.33900,0.33078,2.58784,2.90550
0.23730,0.08246,0.24255,0.08246,0.11043,0.05495,0.07005,0.02971,0.33774,0.33049,2.68217,3.62391
0.15100,0.01643,0.13477,0.03299,0.06526,0.03557,0.06358,0.01858,0.33350,0.33044,1.55736,3.81814
0.18872,0.05496,0.16724,0.07697,0.13314,0.12195,0.06322,0.03311,0.34042,0.33250,1.82527,3.62917
0.07013,0.07178,0.03781,0.06073,0.03414,0.01740,0.03004,0.00725,0.32211,1.10545,1.76421,3.74612
0.18872,0.03299,0.18335,0.03839,0.09580,0.06541,0.06423,0.02284,0.33222,0.33041,2.02526,3.73677
0.19409,0.04950,0.19409,0.05496,0.06926,0.08388,0.06480,0.02812,0.33264,0.34121,1.61076,3.75312
0.12939,0.03873,0.10785,0.04965,0.07281,0.03737,0.05416,0.01138,0.32703,0.33041,2.08260,4.02620
0.03781,0.05521,0.02148,0.07178,0.02468,0.00588,0.00055,0.01493,0.61926,0.33046,3.74392,3.98395
0.12939,0.23145,0.17249,0.22595,0.00852,0.03475,0.01656,0.03611,0.32092,0.33041,2.78455,3.33217
0.12939,0.02217,0.10785,0.03873,0.05178,0.03654,0.04796,0.01071,0.32356,0.33041,3.17462,3.73643
0.16724,0.00561,0.12408,0.01666,0.05282,0.05872,0.04904,0.00592,0.32459,0.33041,2.34255,3.86280
0.14551,0.04395,0.14551,0.03839,0.06637,0.03190,0.06501,0.02867,0.33522,0.33048,2.08631,3.27533
0.18335,0.06049,0.16187,0.04950,0.07438,0.04598,0.06075,0.03021,0.34398,0.33046,3.00818,3.73757
0.11865,0.01123,0.08093,0.01666,0.04154,0.00044,0.03342,0.00149,0.32208,0.33041,2.11854,2.01897
0.13477,0.22595,0.12939,0.22058,0.05418,0.01677,0.04553,0.01201,0.32408,0.33041,2.29416,3.46364
0.26953,0.15967,0.27490,0.14307,0.06932,0.02605,0.06426,0.03159,0.33557,0.33062,3.80056,3.96932
0.18335,0.04395,0.16724,0.06604,0.06341,0.01352,0.05914,0.02338,0.33111,0.33041,2.08640,3.87371
