tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
0.21777,0.20789,0.27148,0.29443,4.41682,4.07081,4.58145,3.51842,1.73442,1.73759,0.40758,0.17248
0.22791,0.16907,0.30273,0.24670,1.56207,1.88688,1.52566,1.64397,0.76078,1.01788,0.42410,0.23797
0.34033,0.34009,0.40918,0.42456,2.51867,2.47166,2.09017,2.23845,1.29479,1.45817,0.40534,0.22791
0.33521,0.35156,0.34326,0.37305,2.18420,2.30118,2.08499,1.91091,0.73679,0.75240,0.57935,0.54594
0.30786,0.26514,0.35547,0.34106,0.50768,0.13846,0.44182,0.05170,0.36368,0.47909,0.50187,0.24437
0.25635,0.20984,0.30176,0.27783,0.34036,0.22679,0.60484,0.15107,0.45742,0.49144,0.39014,0.23981
0.21570,0.18359,0.26221,0.24866,0.60522,1.23191,0.57038,0.94614,0.20939,0.38649,0.43162,0.23901
0.27344,0.25928,0.30981,0.29443,1.79920,1.82188,1.90019,1.99096,1.03861,0.91767,0.45788,0.26464
0.28955,0.28271,0.29370,0.28760,0.27458,3.44962,0.99249,0.14206,3.78155,9.49253,0.66000,0.72180
0.23804,0.18457,0.24817,0.20593,0.61713,1.38482,0.51233,0.93347,0.32094,0.33050,0.52930,0.22053
0.26343,0.23120,0.32300,0.31372,0.06945,0.06874,0.36250,0.03090,0.32094,0.33050,0.38241,0.22544
0.40405,0.39233,0.48608,0.48560,4.88277,4.34262,5.12382,2.98612,1.83661,0.74234,1.50541,1.25074
0.28149,0.27393,0.28760,0.29907,5.17768,5.66805,7.49343,2.65016,0.51194,5.76458,1.14331,0.50091
0.30273,0.28076,0.37061,0.36230,0.75376,0.14806,0.60947,0.30326,0.32094,0.33050,0.45914,0.26149
0.25415,0.23987,0.30396,0.30688,0.07968,0.05720,0.15144,0.08746,0.32094,0.33050,0.38191,0.22638
0.28369,0.25146,0.29468,0.29053,1.26503,0.94630,1.28396,0.85871,0.65146,0.37779,1.21781,0.32873
0.44067,0.40894,0.44873,0.41187,1.75689,1.35865,1.76957,1.29679,0.72797,0.54055,0.93524,0.58876
0.31396,0.28564,0.32007,0.28760,1.73130,1.64754,1.57649,1.51741,0.36404,0.24651,0.33805,0.31055
0.28955,0.29346,0.29175,0.30396,0.37032,3.46112,0.84019,0.50703,2.27769,27.19384,1.11048,1.00990
0.26025,0.22339,0.29272,0.29810,0.09916,0.12922,0.06334,0.21866,0.64228,0.61836,0.36816,0.18652
