tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
0.15076,0.03503,0.17017,0.01110,0.06718,0.10532,0.05943,0.04941,0.19568,0.27465,0.36914,0.37176
0.15076,0.06409,0.17505,0.01624,0.05997,0.34782,0.05954,0.13308,0.21221,0.13214,0.28774,0.18546
0.14587,0.01110,0.17505,0.01709,0.07133,0.10908,0.05844,0.14675,0.19603,0.22391,0.40231,0.25205
0.07782,0.05038,0.10699,0.01110,0.02342,0.55625,0.02765,0.13949,0.17319,0.05368,1.10302,0.15078
0.10217,0.05893,0.12646,0.03075,0.10854,0.31221,0.03940,0.19868,0.11173,0.24816,0.71335,0.15138
0.10699,0.07947,0.13623,0.04099,0.08769,0.59146,0.04179,0.29385,0.21200,0.23213,0.81108,0.35287
0.14587,0.04099,0.17017,0.00769,0.05612,0.08924,0.05820,0.04132,0.20997,0.08786,0.52000,0.30220
0.11182,0.04440,0.13623,0.01281,0.06286,0.12878,0.04286,0.08951,0.17692,0.27955,0.59475,0.14687
0.14099,0.08710,0.17993,0.05551,0.05687,0.71037,0.05512,0.24323,0.22406,0.27395,0.51355,0.14523
0.05838,0.04526,0.09723,0.00427,0.12339,0.70152,0.02005,0.08619,0.06778,0.27421,1.00602,0.15040
0.08759,0.07520,0.12158,0.03674,0.02667,0.37504,0.03202,0.25622,0.13626,0.07885,0.47987,0.32540
0.11182,0.03845,0.13623,0.00085,0.07750,0.53460,0.04357,0.01345,0.12940,0.24172,1.19871,0.19431
0.08270,0.05807,0.11182,0.01794,0.12390,0.33913,0.03097,0.14239,0.15229,0.33251,0.85013,0.16021
0.10217,0.07007,0.13135,0.04099,0.05094,0.12135,0.03831,0.13510,0.08354,0.33781,0.94424,0.21648
0.14099,0.04697,0.16541,0.00598,0.05374,0.14336,0.05790,0.05828,0.20408,0.23021,0.46745,0.18346
0.09235,0.03075,0.10699,0.00427,0.17884,0.31322,0.03401,0.02836,0.11959,0.33041,0.51689,0.29458
0.11182,0.02989,0.13135,0.02220,0.06995,0.26823,0.04235,0.03012,0.18660,0.34953,1.60471,0.17765
0.10217,0.05466,0.11676,0.01196,0.23840,0.67759,0.03786,0.13768,0.11341,0.33982,1.16200,0.09718
0.05353,0.08197,0.06805,0.04099,0.02107,0.38814,0.01574,0.32766,0.12359,0.27366,0.40885,0.16477
0.06805,0.05551,0.10217,0.01709,0.09906,0.58861,0.02265,0.11025,0.15321,0.34809,0.60169,0.25975
