tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
4.24153,0.54098,2.41533,0.61891,3.68104,2.47325,3.87283,2.19296,11.52522,0.98281,2.78919,1.10921
4.26934,0.57635,2.43788,0.66838,3.98822,2.25952,3.91052,2.09975,11.56468,0.91742,2.72025,1.02707
4.14711,0.56027,2.28640,0.55411,3.47264,2.22444,3.75966,2.03732,11.39301,0.97354,3.27004,1.07607
4.19391,0.59976,2.40733,0.62645,3.66834,2.15293,3.80750,1.92614,11.45396,0.88514,2.98995,0.99682
4.27003,0.55480,2.40584,0.59250,3.93287,2.26768,3.90592,2.13400,11.51053,1.01559,3.13806,1.12180
4.33530,0.58142,2.56440,0.61102,3.78316,2.21900,3.98754,2.03998,11.57352,0.80322,3.10199,0.98793
4.30532,0.50053,2.34050,0.53576,3.50892,2.27789,3.93546,2.21113,11.54093,1.04279,2.11692,1.07168
4.11109,0.54422,2.44760,0.56880,3.65960,2.18492,3.71922,2.19833,11.41081,0.83014,4.51833,0.97968
4.34405,0.56984,2.38656,0.62395,3.78717,2.48595,3.96720,2.21893,11.61043,0.88731,3.32793,1.14029
3.90248,0.63981,2.26017,0.67562,2.96274,2.08866,3.52152,1.98053,11.37357,0.87166,3.14760,0.90298
4.07112,0.61026,2.27426,0.62667,3.53066,2.20958,3.67678,2.05553,11.44427,0.89327,2.85383,0.70327
4.28907,0.59149,2.56687,0.69811,3.38931,2.29191,3.93508,1.97431,11.56714,0.86080,2.09287,0.97333
4.13126,0.59984,2.40504,0.69002,3.34172,2.25036,3.74167,2.14089,11.41275,0.95581,3.35161,1.08415
4.21048,0.58081,2.40015,0.60978,3.71554,1.99457,3.83653,2.07450,11.48500,0.84569,3.29548,0.86337
4.25563,0.56555,2.62601,0.63676,3.79561,2.38057,3.88453,2.11620,11.47396,0.80545,3.54527,1.08207
4.24075,0.53043,2.48755,0.61710,3.43644,2.22789,3.86280,2.11509,11.47682,0.86094,2.15338,0.98667
4.27519,0.57527,2.46019,0.57199,3.61021,2.39746,3.89787,2.10188,11.55905,0.92949,3.14044,1.09466
4.27600,0.61203,2.55089,0.62338,3.53069,2.20606,3.89912,1.92031,11.39430,0.85865,3.93678,1.06110
4.25838,0.64398,2.56196,0.80100,3.60397,2.36165,3.91068,2.09160,11.50416,0.88784,4.89961,1.08411
4.36498,0.57798,2.31511,0.63658,3.88224,2.26961,3.98882,2.07944,11.53100,0.95279,2.24776,1.05516
