tsls_train_MAE,tsls_test_MAE,IVGMM_train_MAE,IVGMM_test_MAE,DML_train_MAE,DML_test_MAE,Ortho_train_MAE,Ortho_test_MAE,Poly_tsls_train_MAE,Poly_tsls_test_MAE,KernelIV_train_MAE,KernelIV_test_MAE
1.20623,1.23967,0.82418,0.20536,1.28559,1.19030,1.29686,1.21063,4.74173,4.74717,6.61520,2.65794
1.37749,1.39543,0.86736,0.34566,1.46690,1.43479,1.45706,1.36404,4.74767,3.95571,6.44958,3.65198
1.34249,1.33209,0.92748,0.21002,1.43407,1.30502,1.43631,1.30291,4.65755,3.87125,4.63328,2.98330
1.40942,1.42695,0.83329,0.05614,1.48512,1.35890,1.51878,1.41516,4.40196,3.81290,6.52902,4.10365
1.32851,1.34465,0.67831,0.32723,1.31614,1.21684,1.41918,1.31029,4.68108,4.83112,7.29489,1.99577
1.36745,1.38722,0.91030,0.35437,1.44522,1.35862,1.51027,1.39861,4.50127,3.90832,4.26783,2.14266
1.45510,1.43419,0.97736,0.48862,1.55476,1.41635,1.54748,1.42028,4.55494,4.58863,5.23457,4.05650
1.47529,1.51675,0.55645,0.20816,1.55999,1.46694,1.57568,1.49694,4.50224,3.85926,4.38826,3.73025
1.39242,1.41522,0.90756,0.52077,1.49743,1.40498,1.48726,1.39844,4.70055,3.76166,6.85287,5.91008
1.22543,1.25995,0.79841,0.39551,1.29977,1.21190,1.31201,1.22810,4.85146,4.95743,4.52240,4.48403
1.33066,1.36947,0.84008,0.02002,1.41967,1.32084,1.42743,1.34767,4.79802,3.98589,2.41604,3.75810
1.56604,1.58431,0.68104,0.23816,1.64189,1.54792,1.66525,1.56339,4.50212,3.84985,4.89996,6.51404
1.26053,1.31823,0.74651,0.07082,1.34515,1.28832,1.39701,1.34272,4.53499,3.92817,6.51007,4.57569
1.49918,1.50365,0.04515,0.07630,1.59069,1.47395,1.60064,1.48814,4.44176,4.78788,6.99252,3.03872
1.36385,1.36092,0.91727,0.36533,1.47406,1.34786,1.46688,1.34742,4.59494,3.83034,3.74165,2.01097
1.35391,1.33995,0.89159,0.15334,1.43551,1.27551,1.45633,1.32623,4.52498,3.84805,4.14552,4.19987
1.27313,1.24501,0.88961,0.47559,1.37240,1.24356,1.37728,1.25379,4.71485,4.65919,6.70319,4.29906
1.44882,1.43264,1.00303,0.38353,1.53547,1.39883,1.53869,1.40498,4.48486,3.78649,4.74419,3.77090
1.26116,1.26217,0.89604,0.18932,1.30697,1.21126,1.43936,1.34224,4.71874,3.88743,2.36328,4.08046
1.41613,1.44280,0.84352,0.16139,1.50131,1.41483,1.52953,1.43513,4.69431,3.81746,8.74295,5.07149
